"공간정보관리번호","X 좌표 최소값","Y 좌표 최소값","X 좌표 최대값","Y 좌표 최대값","제설함번호","관리기관명","위치상세정보","비고"
"3454","215207.2","551201.8","215207.2","551201.8","강동-84","강동구","강일동 707","강일동"
"3455","215230.3","551265.9","215230.3","551265.9","강동-85","강동구","강일동 707","강일동"
"3456","215591.0","551803.6","215591.0","551803.6","강동-86","강동구","아리수로 97-24","아리수로"
"3457","214001.7","549022.9","214001.7","549022.9","강동-87","강동구","천호대로 1291","천호대로"
"3458","214675.2","549430.2","214675.2","549430.2","강동-88","강동구","천호대로 1426-1","천호대로"
"3459","214118.1","549568.4","214118.1","549568.4","강동-89","강동구","상일동 175","상암로"
"3460","214118.1","550073.7","214118.1","550073.7","강동-90","강동구","구천면로 557","구천면로"
"3461","214269.9","550161.7","214269.9","550161.7","강동-91","강동구","고덕로80길 134","구천면로"
"3462","213285.4","551369.8","213285.4","551369.8","강동-92","강동구","아리수로 50-50","아리수로"
"3463","211374.6","547519.4","211374.6","547519.4","강동-93","강동구","성내로 80","아리수로"
"3478","210246.7","544053.5","210246.7","544053.5","동부-013","동부도로사업소","송파지하차도 상행","송파대로"
"3479","209894.9","544497.8","209894.9","544497.8","동부-014","동부도로사업소","송파지하차도 하행","송파대로"
"3480","205261.9","546256.2","205261.9","546256.2","동부-015","동부도로사업소","경기고등학교 언덕 상행 17","영동대로"
"3481","205090.3","546619.3","205090.3","546619.3","동부-016","동부도로사업소","경기고등학교 언덕 하행","영동대로"
"3482","205916.5","544740.7","205916.5","544740.7","동부-017","동부도로사업소","휘문고등학교 사거리 언덕 상행","영동대로"
"3483","205606.1","545400.7","205606.1","545400.7","동부-018","동부도로사업소","휘문고등학교 사거리 언덕 하행","영동대로"
"3484","204351.1","543328.3","204351.1","543328.3","동부-019","동부도로사업소","매봉터널 상행","언주로"
"3485","204181.7","543696.4","204181.7","543696.4","동부-020","동부도로사업소","매봉터널 하행","언주로"
"3486","190638.5","551097.3","190638.5","551097.3","서부-01","서부도로사업소","성산대교북단 일산방향 진출램프","성산로"
"3487","190804.2","550825.7","190804.2","550825.7","서부-02","서부도로사업소","성산대교북단 마포방향 진입램프","성산로"
"3488","195692.7","547838.8","195692.7","547838.8","서부-03","서부도로사업소","원효대교북단 원효대교 진입램프","원효로"
"3489","195703.3","547825.1","195703.3","547825.1","서부-04","서부도로사업소","원효대교북단 구리방향 진출램프","원효로"
"3490","194552.3","547094.0","194552.3","547094.0","서부-05","서부도로사업소","원효대교남단 여의도 진입램프","원효로"
"3491","194562.6","547077.9","194562.6","547077.9","서부-06","서부도로사업소","원효대교남단 원효대교 진입램프","원효로"
"3492","194963.2","548656.9","194963.2","548656.9","서부-07","서부도로사업소","마포대교북단 일산방향 진출램프","마포로"
"3493","194844.7","548560.9","194844.7","548560.9","서부-08","서부도로사업소","마포대교북단 구리방향 진출램프","마포로"
"3494","194819.5","548600.6","194819.5","548600.6","서부-09","서부도로사업소","마포대교북단 마포대교진입램프(일산방향)","마포로"
"3495","194946.8","548689.2","194946.8","548689.2","서부-10","서부도로사업소","마포대교북단 마포대교진입램프(구리방향)","마포로"
"3496","193737.1","549275.3","193737.1","549275.3","서부-11","서부도로사업소","서강대교북단 구리방향 진출램프","서강로"
"3497","193710.4","549288.5","193710.4","549288.5","서부-12","서부도로사업소","서강대교북단 서강대교진입램프(일산방향)","서강로"
"3498","191997.8","549776.8","191997.8","549776.8","서부-13","서부도로사업소","양화대교북단 일산방향 진출램프","양화로"
"3499","191912.6","549688.8","191912.6","549688.8","서부-14","서부도로사업소","양화대교북단 구리방향 진출램프","양화로"
"3500","191885.3","549715.5","191885.3","549715.5","서부-15","서부사업소","양화대교북단 양화대교진입램프(일산방향)","양화로"
"3501","191974.0","549808.1","191974.0","549808.1","서부-16","서부도로사업소","양화대교북단 양화대교진입램프(구리방향)","양화로"
"3502","195997.3","547266.4","195997.3","547266.4","서부-17","서부도로사업소","새남터다리 앞","대건로"
"3503","196660.6","546960.3","196660.6","546960.3","서부-18","서부도로사업소","한강대교북단 강변북로진입램프(일산방향)","한강로"
"3504","190074.1","551285.1","190074.1","551285.1","서부-19","서부도로사업소","증산로남단 월드컵 접속교","증산로"
"3505","199809.7","546828.9","199809.7","546828.9","서부-20","서부도로사업소","동빙고U턴  고가차도    U턴지점","동빙고U턴 고가차도"
"3507","192725.4","543409.5","192725.4","543409.5","남부-001","남부사업소","봉천로 177","봉천로"
"3508","195758.2","546149.0","195758.2","546149.0","남부-002","남부사업소","노량진로 247","노들길"
"3509","206140.8","559279.1","206140.8","559279.1","북부1-031","북부도로사업소","동일로 지하 1196","동일로"
"3510","206267.2","558919.9","206267.2","558919.9","북부1-032","북부도로사업소","공릉동 708-2","동일로"
"3511","205874.4","550652.3","205874.4","550652.3","성동-001","성동도로사업소","동부간선도로 송정교 입구","교량"
"3512","202811.8","549456.4","202811.8","549456.4","성동-002","성동도로사업소","동부간선도로 용비교램프","입체교차"
"3519","207321.8","547529.4","207321.8","547529.4","성동-004","성동도로사업소","강변북로 자양고가 앞","고가차도"
"3520","207696.3","547606.7","207696.3","547606.7","성동-005","성동도로사업소","잠실대교램프(강변북로하행→교량)","입체교차"
"3521","207900.8","547711.0","207900.8","547711.0","성동-006","성동도로사업소","잠실대교램프(강변북로하행→자양로)","입체교차"
"3522","208512.8","548323.1","208512.8","548323.1","성동-007","성동도로사업소","테크노마트앞 고가차도(하행)","입체교차"
"3523","210589.8","549414.5","210589.8","549414.5","성동-008","성동도로사업소","광진교남단램프(올림픽대로→교량진입)","입체교차"
"3524","210045.5","550840.3","210045.5","550840.3","성동-009","성동도로사업소","아차산대교(워커힐앞)","교량"
"3525","209737.6","549768.3","209737.6","549768.3","성동-010","성동도로사업소","광진교북단램프(강변북로상행→광나루)","교량"
"3526","209312.2","549219.9","209312.2","549219.9","성동-011","성동도로사업소","광나루지하차도 앞","지하차도"
"3527","208682.9","548577.9","208682.9","548577.9","성동-012","성동도로사업소","테크노마트앞 고가차도(상행)","입체교차"
"3528","207975.1","547796.9","207975.1","547796.9","성동-013","성동도로사업소","잠실대교램프(강변북로상행→자양로)","입체교차"
"3530","205173.2","548287.3","205173.2","548287.3","성동-014","성동도로사업소","영동대교북단램프(강변북로상행→교량)","입체교차"
"3531","203480.4","548925.7","203480.4","548925.7","성동-015","성동도로사업소","성수대교 위령탑 앞","지하차도"
